 |  | usuario: admin | contraseña: Admin1432!
RoutePlanner | POST | /api/v1/route-planner/routes/:id/stops | Add paradas a existing ruta (draft/active only)
RoutePlanner | GET | /api/v1/route-planner/routes/:id/status | Evaluate ruta delay estado con progress métricas
RoutePlanner | POST | /api/v1/route-planner/optimize | E-01: Optimize multi-parada ruta (K-means++ / TSP / OSRM stub)
RoutePlanner | POST | /api/v1/route-planner/calculate | E-02: Calcular distance/time between points
RoutePlanner | GET | /api/v1/route-planner/geocode | E-03: Geocodificar address a coordinates (query param)
RoutePlanner | POST | /api/v1/route-planner/routes/manual | E-06: Crear manual ruta con paradas + emitEvent
RoutePlanner | PATCH | /api/v1/route-planner/routes/:id/assign | E-07: Asignar vehículo y conducto a ruta (genetarifad estado only)
RoutePlanner | PATCH | /api/v1/route-planner/routes/:id/stops/reorder | E-08: Reorden de transporte paradas in ruta con sequence update
RoutePlanner | PATCH | /api/v1/route-planner/routes/:id/confirm | E-09: Confirm ruta (genetarifad → confirmed), validates ≥2 paradas
RoutePlanner | POST | /api/v1/route-planner/routes/confirm-all | E-10: Lote - confirm múltiples rutas atomically
RoutePlanner | PATCH | /api/v1/route-planner/routes/:id/dispatch | E-11: Despachar ruta (confirmed → dispatched), validates vehículo+conductor
RoutePlanner | PATCH | /api/v1/route-planner/routes/:id/reset | E-12: Restablecer ruta a draft estado
RoutePlanner | PATCH | /api/v1/route-planner/routes/:id/revoke | E-13: Revocar confirmation (confirmed → genetarifad)
RoutePlanner | DELETE | /api/v1/route-planner/routes/:id | E-14: Eliminar ruta (draft o genetarifad only)
RoutePlanner | GET | /api/v1/route-planner/routes/:id/calculate | E-15: Obtener ruta totals (distance, duration, paradas count)
RoutePlanner | GET | /api/v1/route-planner/depots | E-16: Listar active almacenes desde `almacenes` table
RoutePlanner | GET | /api/v1/route-planner/vehicles | E-17: Listar available vehículos para routing (filtros by operational_estado)
RoutePlanner | GET | /api/v1/route-planner/drivers | E-18: Listar available conductores para routing
RoutePlanner | GET | /api/v1/route-planner/route-templates | E-19: Listar ruta plantillas orden de transporteed by usage_count
RoutePlanner | POST | /api/v1/route-planner/route-templates | E-20: Crear ruta plantilla (configuration + optimizationParams + tags)
RoutePlanner | POST | /api/v1/route-planner/whatif-scenarios | E-21: Crear what-if analysis scenario
RoutePlanner | GET | /api/v1/route-planner/whatif-scenarios | E-22: Listar what-if scenarios (paginado)
Finance | GET | /api/v1/finance/invoices | E-01: Listarar facturas (filtros: search/estado/type/clienteId/startDate/endDate, paginado)
Finance | GET | /api/v1/finance/invoices/:id | E-02: Obtener factura po ID con line items
Finance | POST | /api/v1/finance/invoices | E-03: Crear factura (calcula totales, estado=draft, genera INV-YYYY-NNNNN)
Finance | PATCH | /api/v1/finance/invoices/:id/status | E-04: Transicionar estado de factura (máquina 8 estados)
Finance | POST | /api/v1/finance/invoices/:id/send | E-05: Enviar factura al cliente (draft/pending → sent)
Finance | GET | /api/v1/finance/payments | E-06: Listarar pagos (filtros: facturaId/clienteId/estado/method, paginado)
Finance | POST | /api/v1/finance/payments | E-07: Registrar pago — reconcilia automáticamente la factura (amountPaid/amountDue/estado)
Finance | GET | /api/v1/finance/payments?invoiceId=:id | E-08: Pagos de una factura (vía filtro facturaId en listPagos)
Finance | GET | /api/v1/finance/costs | E-09: Listarar costoos (filtros: type/vehículoId/orden de transporteId/isApproved, paginado)
Finance | POST | /api/v1/finance/costs | E-10: Registrar costoo (isApproved=false, requiere aprobación)
Finance | PATCH | /api/v1/finance/costs/:id/approve | E-11: Aprobar costoo (sets isApproved=true, registra approvedBy/approvedAt)
Finance | GET | /api/v1/finance/costs/by-order/:orderId | E-12: Costoos de una orden específica
Finance | GET | /api/v1/finance/costs/by-vehicle/:vehicleId | E-13: Costoos de un vehículo (filtros: type/startDate/endDate, paginado)
Finance | GET | /api/v1/finance/rates | E-14: Listarar tarifas (filtros: category/originZone/destinationZone/isActive)
Finance | GET | /api/v1/finance/rates/:id | E-15: Obtener tarifa po ID
Finance | GET | /api/v1/finance/rates/calculate | E-16: Calcular monto para ruta (originZone+destinationZone, soporta rangos escalonados, min/max charge)
Finance | GET | /api/v1/finance/stats | E-17: Estadísticas financieras (totalFacturad/totalPaid/totalPending/totalOverdue/totalCostoos/profitMargin)
Finance | GET | /api/v1/finance/clientes/:id/summary | E-18: Resumen financiero de cliente (totalFacturad/totalDue/overdueAmount/avgPagoDays)
Finance | GET | /api/v1/finance/aging | E-19: Aging cuentas po cobrar (actual/1-30/31-60/61-90/+90 días)
Finance | GET | /api/v1/finance/profitability | E-20: Análisis de rentabilidad (totalRevenue/totalCostoos/grossProfit/margin, bycliente top-10)
Finance | GET | /api/v1/finance/cash-flow | E-21: Flujo de caja (totalInflows/totalOutflows/netCashFlow, detalle diario últimos 30 días)
